rater,group,pair,winner
F1,fwd,P01,A
F1,fwd,P02,A
F1,fwd,P03,A
F1,fwd,P04,A
F1,fwd,P05,A
F1,fwd,P06,B
F1,fwd,P07,B
F1,fwd,P08,B
F1,fwd,P09,B
F1,fwd,P10,C
F1,fwd,P11,C
F1,fwd,P12,C
F1,fwd,P13,tie
F1,fwd,P14,tie
F1,fwd,P15,tie
F2,fwd,P01,A
F2,fwd,P02,A
F2,fwd,P03,A
F2,fwd,P04,A
F2,fwd,P05,A
F2,fwd,P06,B
F2,fwd,P07,B
F2,fwd,P08,B
F2,fwd,P09,B
F2,fwd,P10,C
F2,fwd,P11,C
F2,fwd,P12,C
F2,fwd,P13,tie
F2,fwd,P14,tie
F2,fwd,P15,tie
F3,fwd,P01,A
F3,fwd,P02,A
F3,fwd,P03,A
F3,fwd,P04,A
F3,fwd,P05,A
F3,fwd,P06,B
F3,fwd,P07,B
F3,fwd,P08,B
F3,fwd,P09,B
F3,fwd,P10,C
F3,fwd,P11,C
F3,fwd,P12,C
F3,fwd,P13,tie
F3,fwd,P14,tie
F3,fwd,P15,tie
R1,rev,P01,A
R1,rev,P02,A
R1,rev,P03,A
R1,rev,P04,A
R1,rev,P05,A
R1,rev,P06,B
R1,rev,P07,B
R1,rev,P08,B
R1,rev,P09,B
R1,rev,P10,C
R1,rev,P11,C
R1,rev,P12,C
R1,rev,P13,tie
R1,rev,P14,tie
R1,rev,P15,tie
R2,rev,P01,A
R2,rev,P02,A
R2,rev,P03,A
R2,rev,P04,A
R2,rev,P05,A
R2,rev,P06,B
R2,rev,P07,B
R2,rev,P08,B
R2,rev,P09,B
R2,rev,P10,C
R2,rev,P11,C
R2,rev,P12,C
R2,rev,P13,tie
R2,rev,P14,tie
R2,rev,P15,tie
R3,rev,P01,A
R3,rev,P02,A
R3,rev,P03,A
R3,rev,P04,A
R3,rev,P05,A
R3,rev,P06,B
R3,rev,P07,B
R3,rev,P08,B
R3,rev,P09,B
R3,rev,P10,B
R3,rev,P11,B
R3,rev,P12,B
R3,rev,P13,tie
R3,rev,P14,tie
R3,rev,P15,tie
